そだぞ	私は美少女戦士前原だよ
いたっ 嬉しいだいすき	やたやた  私も大好き  
がんばって行きます ᐟ ᐟ ᐟ	ありがと ᐟ ᐟ私もがんばるっ
 っ ヮ c ワア	私の得意科目は  
おぉ いよいよ  	私やないねんww
楽しかた   チャーもっと練習する	私も頑張る️‍
扇風機を投げる人もいるらしいよ	タピオカ「私じゃん‥」
自発頑張ります	私も頑張ります
今日ごるたいしんや誘ってくださいぷぷぷ	今度私とも行こうね
電気代が今までで1番高い️	私、1人なのにめっちゃ高いですよぉ…
ここねいいこと言うのすき	私もすきよ
サクラ お前か 	私よ サスケくん 
お金が貯まらないのはこれかな	私もですよ。
おは	おはぴょ 仕事 私日勤 
会えるの楽しみにしてるよ	私もー  
はらへった	私のオムライス食べる 
先週から探していたもの見つけた	ふふ私もスッキリ amp おぉー
 ˘ω˘ ふぅー  	流石私の子供 ˘꒳˘ 
チュチュ	また私の知らない間に新しいキャラが…
きたきゅうやで	さすが私
寝起きは元気にいかんと死ぬ	寝起きから死んでる私は
りほちゃん了解です️	私はなんとお呼びしたらいいですか 
朝からぱにゃさん面白い。	私は朝から誤字したんか 恐怖 
仕事、行くわ	私も行ってきまーす️
運だからww	じゃあただ私の運が悪いってことでw
清掃員東海オンエア見てる率高くてだいすき	私たまに見てる  
鍵つけるか悩む    	わかる私も悩み中ㅠ ㅠ
8位だもっと上目指す	私の中ではとっくに上だけど️
ちょっぴり二日酔いです	私もちょっぴり二日酔いです
私もかむいレイズに5万票	私はしなレイズに10万票
ガチでベースやろう	私は何すればええんや
自然とですかね	つまり私は不自然な存在…  
合コンしたことないけどそうなんか。	まぁ私もしたことないんでw
ご」んすき	私もご」んすき
たのちい	私もやりたい
さのさんから加入申請が届いた気がした	   私  
零花早起きしました	残念私の方が早い
ほんとにりとすきなんだが	私もがちでういちゃん愛してる
緊張しない方法ありますか	私も教えて欲しいです
眠たいねー…	私は、全然眠たくは、ないよ
もはや公式も顔負け	私来るより先に誰にいいねされてんのw
いっしょにはいろー	私汚いよ笑笑
する   積極的に絡みに行くね	私も絡んじゃう     笑
石川にもゆで太郎があったとは 	私も知らなかった、ここ一店だけみたい。
えー家一人のことない 	あるけど私がむりかな。ちょっとね笑
おやすみ大好き愛してる	おはよう私も
ぱむちゃんとはいつか会う予定	なんそれ嬉しい、私も絶対会いたい
だる絡みさせてくれる人と繋がりたい  	私じゃん
ねぇ、グッズこない。遅くない、 	大丈夫ww私なんか4月だよww
すき	私こそです 
養いたい	うわ、いいなー。ついでにいい 私も
ずっと起きてた	私の知る限りの最長記録だ
話すのが下手すぎる   、頑張らねぇと	それは私もだから大丈夫 
火曜了解 休みやから集合早め可能 	私が早め無理だわ 笑先始めてて 
起きんの早くね  笑おはあり 	私も、今起きた感じ 笑
仕事やろ 頑張って	私は休みやけどな
かぱう    	絶対私のマクロかぱうだったし
はぁ。今日めっちゃ楽しかったなぁ。。	私も楽しかったです。
全然許されるよ笑	でもね、私のにゃあは需要ない気がする 
ちょっと酔った好き	お疲れ様 私も好き
ありがとう	一緒だ私も狭い所恐怖症
じゃあ貸すのでやってみてくださいw	私には無理ですw
ほんとですか	私は漏れないわ
おいらは、老眼が始まりました	私はもう数年前から老眼が…笑
サムネ誰ですか…	私です
大好き 	私も大好き
降る量が違いますわね	私の住んでる地域は少ない方ですけどね 
いつも思うんですけど、のざはるさんすごい	私もそう思います 
ロコがタイツ脱げなくなってしまう	私の前でしか脱がないから
味方もわろてて更にわろてたwww	撃たれて死んでも私やったら許すわww
猫っ毛くせっ毛なんです	私も伸ばしていた頃は前髪がくるんって
フェアリーさんいつもありがとう	私の方こそいつもありがとう️
わ      以外といいね	私も慣れるまで時間かかりそw
どこが 笑	私にがてなんよ
私からも送っとく	わかった 私も送るね 
それ、ちょっと遅くていいのに起きた	私は休みだから何時でも
カラオケ曲募なんかあれば	泥の分際で私だけの大切を奪おうだなんて
すき	私も大好きです  
らぶ	私もLove
はらへった	私もお腹すいたなんか食べましょ  
何気それが好き笑	私も好き
3回目、モデルナだよ 	取れないから、私もモデルなにしようかな
すごい満足して帰ってきました  	私も今度行ってみようかな️
らゔ	私もだよん
おはよう今日は仕事	私も仕事ゆるよろです
自分はそうならないように気をつけます。	私もそうしますね
売国奴はだいたい、顔面が汚い。	私も汚いです 笑 
そなの  笑	私は眉毛も無かった笑
えっ  私…  	私ネーミングセンスがないの…
え 何で仕事え 	私もです
爽️美味しいよね	うん、私、大好きよ️
クマだけ頑張って隠しました笑笑	私も塗り塗りしてきた
ねぼう	はむくまさんおはよ 私も寝坊…
あんさつきょしつ観てる	懐かしい 私もまた見直そうかな
冬眠したい	寒いですしね、私も冬眠したいですw
さてちゃん決めていいよ… 	えっ  私…  
 ´    アーン	私のおおおおお  
がなりてんちゃい。だいちゅき。	ありがとう   私も大好き 
初心者みたいな動きしてた	ひぇ……私の知ってる初心者と違う… 
そんなに気負わなくていいんだよ……	いいんですよ、、全て私のせいなので
ハマフグは人気ないのか 。	私ハマフグ大好きです        
おはようございます┏〇ﾞ	私さんおはようございます
あ。今から寝ますっ笑	私も寝るわ
ぜっっっったいにやだね	じゃあ私もやーめた
札幌でぜひお会いしたいです️	是非私もお会いしたいです️
やっばいね オールしちゃったよ 	すご 私オールできたことない 
戦争です	あ、私、徳川家康なので、、、、、、
分かんない…w	祀翠さんと私は友達    
よし、オフトゥンから出る  3    	えらい、私はまだ出ない
つーしんせいげんかかってる	私もおかしい
大失敗しました笑	やってしまいますよね私もたまに…
30年前だったら見せれた 	私はダメだ
ちょっと酔った好き	お疲れ様 私も好き 
今晩から吹雪か。休みで良かった。	私は今週除雪当番です…
かわいい	私も悪を成敗したいのにどうして…
やば…バレンタインのイベントいつまでだ	私もしてないんだな  
久々6桁ゴールドいったよー 	私も最近やっと貯めた
ありがと    大好きだよ	私も大好き
慣れよなれwww	私甘えてもキモイだけ 
日時ってものを知りません	私達生まれる所からやり直そ
やっとつながりました	私もいけました️参加決定
黒い服がないんだなあ	私も全然黒じゃないので大丈夫ですよ️
あれから寝ずにまだ映画観てる	私は二度寝に入らせて頂きますわよ
これめっちゃ良い 	でしょー 私もお気に入り笑
やるかぁ 諦めるなんて自分らしくない 	私も٩   ۶
いらねぇww	私はほしいです
でも9多いねん……	だから私はハンター専
木曜から 今日で3日目です	えー お疲れ様  私たち明日からだ笑笑
まじかよ貶してないのか…その顔で  	私のアイコン貶してね  
はっ   ∀  …	私が当てる側になってるやん笑笑
え、、、、	みんなで私の慰め会しよ
あの世から戻ってこれません	私も…あの世でもよろしくやで
すき	私も大好きです  
れいだけ   	私だけ  
サクラ 	私はここに居るわ。ずっとアナタの傍に。
この垢の通知全部消えたんだけどどした	あら 私ははじめ開けなかった…
でも当てたらゆきに されるww	私が出てたら さない 
